,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,Pakistan,2151,4005,4867,4576,3976,3365,3774,3193,2625,2617,1572,1287,3167,5904,10542
1,Afghanistan,1843,1529,1242,1456,1753,2852,3115,1962,2103,2165,1575,3192,11358,9710,8508
2,Iran,2224,3051,3162,2967,2499,3716,4837,3094,4003,5490,4224,10522,10007,7842,8099
3,Bangladesh,501,671,1169,1246,919,1320,2256,2004,1463,1375,895,1081,4522,5097,7225
4,Syria,160,508,1289,2020,2353,2794,1569,786,921,1390,1772,3968,4857,3930,6680
5,India,610,615,1195,1111,922,1324,2054,1821,1685,1953,1067,1216,3612,5682,5312
6,Vietnam,467,347,416,466,400,620,822,1154,1278,1610,1018,1889,1075,2469,5259
7,Eritrea,772,827,768,1431,3291,3756,1265,1127,2208,1937,2641,5079,3519,4013,5053
8,Sudan,643,793,740,834,1615,3018,1445,1842,1786,1785,2183,2419,3397,3564,4833
9,Iraq,496,377,423,450,911,2648,3734,3356,3660,4008,3328,7796,6800,4255,3469
10,Turkey,176,181,200,267,296,254,428,513,805,1291,816,814,2281,4419,3019
11,Sri Lanka,1635,2142,2143,2278,1715,1411,1251,960,618,765,415,365,1301,2198,2862
12,Nigeria,1149,1105,1498,1450,1519,1590,1894,1664,1415,1476,1062,1116,1378,1462,2841
13,Albania,219,439,1017,1641,1972,1998,1884,1858,2609,4233,3293,5147,17340,4542,2752
14,Brazil,49,46,24,24,21,23,42,34,70,208,199,146,714,2175,2669
15,Colombia,18,29,15,11,7,17,15,7,19,32,15,8,192,1426,2051
16,Kuwait,77,80,83,88,81,90,121,144,386,205,315,824,715,725,1936
17,China,1369,1023,970,1079,1115,766,1004,1058,1229,1535,880,586,1073,1574,1712
18,Yemen,48,64,77,63,104,146,100,180,256,360,603,519,793,449,1693
19,Jordan,25,20,22,32,45,37,47,23,51,75,84,45,45,117,1629
20,Other,8012,8046,6658,6385,6830,8223,7700,7655,9293,11027,9029,10513,21793,20258,19994
21,Total,22644,25898,27978,29875,32344,39968,39357,34435,38483,45537,36986,58532,99939,91811,108138
