Sex,Age Group,2018,2019,2020,2021,2022,2023,2024
Male,17 and under,16,207,1089,3347,6400,4312,4306
Male,18 to 24,39,264,1785,9035,14774,9067,11252
Male,25 to 39,185,919,3840,11059,15993,9727,13593
Male,40 and over,33,164,669,1448,2767,1725,2204
Female,17 and under,9,101,360,925,1671,938,1124
Female,18 to 24,2,24,141,533,970,756,1216
Female,25 to 39,14,125,427,1224,2200,1441,1872
Female,40 and over,1,39,155,297,580,413,509
Unknown,17 and under,0,0,0,49,90,3,0
Unknown,18 to 24,0,0,0,11,65,10,0
Unknown,25 to 39,0,0,0,10,49,9,1
Unknown,40 and over,0,0,0,6,15,0,0
All,17 and under,25,308,1449,4321,8161,5253,5430
All,18 to 24,41,288,1926,9579,15809,9833,12468
All,25 to 39,199,1044,4267,12293,18242,11177,15466
All,40 and over,34,203,824,1751,3362,2138,2713
